Company Name,CityU URL,Email,Company Website
LinkAIQ Limited – Next-generation  Brain Entrainment System for common sleep problems,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/linkaiq-limited,kim@ohbiohealth.com,No Info Found
Liquid – TruDoc,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/liquid-trudoc,No Info Found,No Info Found
Little Drops,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/little-drops,enquireslittledrops@gmail.com,No Info Found
Liveagle,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/liveagle,No Info Found,No Info Found
Locolla Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/locolla,ken@loco.hk,No Info Found
Look4kol,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/look4kol,team@look4kol.com,No Info Found
Loopsy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/loopsy,No Info Found,No Info Found
Luminova Innovations,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/luminova-innovations,No Info Found,No Info Found
Luna Cat – Fall Prevention AIoT System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/luna-cat,hugochan68@gmail.com,No Info Found
M.A.V.I.S.,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/mavis,No Info Found,No Info Found
MATCH LIMITED,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/match-limited,info@matchhk.co,No Info Found
MEDtaverses,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/medtaverses,info@medtaverses.com,No Info Found
MEI TEAM – VRWalker,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/mei-team-vrwalker,No Info Found,No Info Found
MI simulators,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/mi-simulators,No Info Found,No Info Found
MINDLAYER LIMITED,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/mindplayer,hello@mindlayer.io,No Info Found
MYTEA SOLUTIONS LIMITED,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/letstea,info@letstea.co,No Info Found
MaaS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/maas,No Info Found,No Info Found
Madzone,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/madzone,madzonehk@gmail.com,No Info Found
