Company Name,CityU URL,Email,Company Website
ESG Platform for Charity Fundraising,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esg-platform-for-charity-fundraising,aceesgcl@gmail.com,No Info Found
ESG and Green Finance Education Group,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esg-and-green-finance-education-group,training@esgtraining.org,No Info Found
ESGeo-Ais,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esgeo-ais,klokaiyee@gmail.com,No Info Found
ESSAA Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/creatogether,hello@creatogether.app,No Info Found
EVE (EV Experience),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ev-experience,eve2050now@gmail.com,No Info Found
EXES,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/exes,No Info Found,No Info Found
EacyCar,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eacycar,eacycar@gmail.com,No Info Found
Earthy Bowl,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/earthy-bowl,No Info Found,No Info Found
Easy Tow,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/easy-tow,easytow0130@gmail.com,No Info Found
Eat100,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eat100,No Info Found,No Info Found
Eco-engineered solutions for artificial shoreline restoration,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eco-engineered-solutions,No Info Found,No Info Found
EcoNexus,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/econexus,No Info Found,No Info Found
EconBlocTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/econbloctech,No Info Found,No Info Found
EcoverseX: Embrace Sustainability,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ecoversex-embrace-sustainability,No Info Found,No Info Found
EdHub,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edhub,No Info Found,No Info Found
EdPark,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edpark,hello@edpark.io,No Info Found
EduGPT – Immersive General Education System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edugpt-immersive-general-education-system,No Info Found,No Info Found
Edxtore,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/edxtore,info@edxtore.com,No Info Found
