Company Name,CityU URL,Email,Company Website
Sensus Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/sensus-technology-limited,admin@sensus-tech.com,No Info Found
Seth Biotech Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/seth-biotech-limited,chanchen6@cityu.edu.hk,No Info Found
Seth Biotech Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/seth-biotech-limited,sethbiotech@gmail.com,No Info Found
Sharpsight Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/sharpsight-limited,info@sharpsight.hk,No Info Found
Shines,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/shines,No Info Found,No Info Found
SignalMed,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/signalmed,No Info Found,No Info Found
Silvermarlin Technologies Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/silvermarlin-technologies-limited,No Info Found,No Info Found
Sisyphii,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/sisyphii,mahejabeen.nidhi@gmail.com,No Info Found
Sky City EdTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/sky-city-edtech,No Info Found,No Info Found
Small Molecule-based Therapeutic Intervention for Nervous System Repair,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/small-molecule-based-therapeutic-intervention-nervous-system-repair,nganpanau2@cityu.edu.hk,No Info Found
Smart Caring,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-caring,Shiyiung2-c@my.cityu.edu.hk,No Info Found
Smart Food Label,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-food-label,chuanzhou2-c@my.cityu.edu.hk,No Info Found
Smart Ignite Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/smart-ignite-technology-limited,aishoukonghuan@163.com,No Info Found
Smart Medical Cooling Device,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-medical-cooling-device,haykoze2021@gmail.com,No Info Found
Smart Ocean IOT,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-ocean-iot,No Info Found,No Info Found
Smart Wearable Pulse Monitoring Wristband,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-wearable-pulse-monitoring-wristband,Szhang369-c@my.cityu.edu.hk,No Info Found
Smart Wind,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-wind,ylchuaa@gmail.com,No Info Found
Smart microfluidics,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/smart-microfluidics,No Info Found,No Info Found
