Company Name,CityU URL,Email,Company Website
Gutolution,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gutolution,emt.gutoltuion@gmaill.com,No Info Found
H&S,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/h26s,No Info Found,No Info Found
HAP Sensor,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hap-sensor,zzhang542-c@my.cityu.edu.hk,No Info Found
HBI Biochip,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hbi-biochip,No Info Found,No Info Found
HEATrify,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/heatrify,No Info Found,No Info Found
HK Super Carbon Nano Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/hk-super-carbon-nano-technology-limited,Chuang46-c@my.cityu.edu.hk,No Info Found
HOT-AR,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hot-ar,info@hot-ar.com,No Info Found
HairCoSys Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/haircosys-limited,No Info Found,No Info Found
HappyJai Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/happyjai,team@look4kol.com,No Info Found
Harmonex Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/harmonex-limited,contact@harmonexlabs.com,No Info Found
HarvSolar,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/harvsolar,No Info Found,No Info Found
Health Guardian Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/health-guardian-tech,yinghonwu2-c@my.cityu.edu.hk,No Info Found
Health-Gut,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/health-gut,sliu93-c@my.cityu.edu.hk,No Info Found
Heter-stiffness helical propulsion robot with adaptive energy allocation,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/heter-stiffness,tszhang3-c@my.cityu.edu.hk,No Info Found
High-performance and cost-effective moisture-based cooling design for more sustainable passive thermal management,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/high-performance-and-cost-effective-moisture-based-cooling-design,suigle@163.com,No Info Found
HiveAI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hiveai,No Info Found,No Info Found
Home for Homeless,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/home-homeless,852streetcat@gmail.com,No Info Found
Hong Kong Carful Group Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hong-kong-carful-group-limited,carfulhk@gmail.com,No Info Found
