Company Name,CityU URL,Email,Company Website
KYC Verification Tool for Chinese Client (VTCC),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/vtcc,Haileyiyy218@hotmail.com,No Info Found
Kaki,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/kaki,kaki.metaverse@gmail.com,No Info Found
Kalos,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/kalos,No Info Found,No Info Found
Kamakura Foods Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/wadabento,info@wadabento.com,No Info Found
Kanaya AI Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/kanaya-ai-technology-limited,tech300kanaya@gmail.com,No Info Found
Keep Ai,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/keep-ai,city300@propeldata.io,No Info Found
Khepri,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/khepri,No Info Found,No Info Found
KidsnJoy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/kidsnjoy,kidsnjoyhk@gmail.com,No Info Found
Kitchen-Live,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/kitchen-live,mmasood2-c@my.cityu.edu.hk,No Info Found
Know My Fund,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/know-my-fund,No Info Found,No Info Found
Know Your Talent,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/know-your-talent,Kyt.hktech@gmail.com,No Info Found
Knowledge Mining for Energy Material Discovery and Development by Deep Learning,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/knowledge-mining,share@greendynamics.com.au,No Info Found
Koala Charge,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/koala-charge,No Info Found,No Info Found
Kongcept Tour,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/kongcept-tour,No Info Found,No Info Found
LABELESS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/labeless,stella@thelabeless.com,No Info Found
LAWROVER,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/lawrover,imccn@outlook.com,No Info Found
LBS+,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/lbs,jiajunhe5c@my.cityu.edu.hk,No Info Found
LEVAV,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/levav,marslung@gmail.com,No Info Found
