Company Name,CityU URL,Email,Company Website
Da Tong,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/da-tong,No Info Found,No Info Found
Data Analysis for Web3 (DAW),https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/data-analysis-web3-daw,longman@daw.global,No Info Found
DataLouder,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/datalouder,admin@datalouder.com,No Info Found
DataLouder Company Limited,https://www.cityu.edu.hk/en/hktech300/start-ups/angel-fund-start-ups/datalouder,admin@datalouder.com,No Info Found
Datality Lab Limited,https://www.cityu.edu.hk/en/hktech300/start-ups/angel-fund-start-ups/datality-lab,info@datalitylab.com,No Info Found
Dayson,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/dayson,No Info Found,No Info Found
Deep Immune,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/deep-immune,wxueying31@gmail.com,No Info Found
Deep-Rx,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/deep-rx,No Info Found,No Info Found
DeepGreen,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/deepgreen,dliu@u.nus.edu,No Info Found
DeepSeq2Drug,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/deepseq2drug,weidunxie2-c@my.cityu.edu.hk,No Info Found
Delivery Ape,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/delivery-ape,matthew.kwok@deliveryape.com.hk,No Info Found
DeltaDeFi,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/deltadefi,No Info Found,No Info Found
Dentell,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/dentell,svobbilis2-c@my.cityu.edu.hk,No Info Found
Designhub,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/designhub,No Info Found,No Info Found
Development of anticancer drug candidates using synthetic biology,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/development-of-anticancer-drug,combiomics@gmail.com,No Info Found
Digital Twin Technologies on Equine & Horse Welfare Management,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/equine-and-horse-welfare-management,fatima.waheed007@gmail.com,No Info Found
Digital Universal Network,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/digital-universal-network,No Info Found,No Info Found
Digital Vision Brands Holdings Limited,https://www.cityu.edu.hk/en/hktech300/start-ups/angel-fund-start-ups/digital-vision-brands-holdings-limited,partnership@digitalvisionbrands.com,No Info Found
