Company Name,CityU URL,Email,Company Website
Indoor Light Navigation System Based on Ultra-wideband Technology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/indoor-light-navigation-system,lxtang3-c@my.cityu.edu.hk,No Info Found
Industrialisation for cBN Hard Nanocoating,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/industrialisation-for-cbn-hard-nanocoating,Innodraco@gmail.com,No Info Found
Infinity Lab,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/infinity-lab,e.kawai.ikw@gmail.com,No Info Found
Infinity Technology Corporation Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/dimorder,info@dimorder.com,No Info Found
Infotronic Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/infotronic-technology-limited,sales@infotronic-tech.com,No Info Found
InnerSpeech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/innerspeech,info@innerspeech.ai,No Info Found
InnoCity Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/innocity-limited,No Info Found,No Info Found
InnoH2,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/innoh2,No Info Found,No Info Found
InnoSpire Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/innospire-technology-limited,info@techinnospire.com,No Info Found
InnoVi NoCode,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/innovi-nocode,No Info Found,No Info Found
InnovElders,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/innovelders,No Info Found,No Info Found
InspectEasy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/inspecteasy,C.huaguo@my.cityu.edu.hk,No Info Found
Instant collaboration between KOLs and businesses,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/instant-collaboration-between-kols-and-businesses,wangwen2018@sjtu.edu.cn,No Info Found
IntBT (Integrated Blood-Testing Technologies),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/intbt-integrated-blood-testing-technologies,xinrui.wang@my.cityu.edu.hk,No Info Found
Intelligence Sparks,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/intelligence-sparks,No Info Found,No Info Found
Intelligent Online Shop Management Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/rotechverse,info@rotechverse.com,No Info Found
Intelligent Platform for Financial Information Retrieval and Analysis,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/intelligent-platform-for-financial-information-retrieval-and-analysis,admin@oxbridge-econ.com,No Info Found
Intelligent Service Platform for Securities Lending,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/intelligent-service-platform-for-securities-lending,gilbert.wang@gham.com.hk,No Info Found
