Company Name,CityU URL,Email,Company Website
Digital traffic-management platform for low-altitude urban drone delivery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/digital-traffic-management-platform,x.y.he@my.cityu.edu.hk,No Info Found
Doctech HK Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/doctech-hk-limited,info@doctech-group.com,No Info Found
DoctorDwelling,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/doctordwelling,hkcozyspark@gmail.com,No Info Found
Dory iGarden Ltd.,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/dory-igarden,dory.igarden@gmail.com,No Info Found
Dotato,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dotato,No Info Found,No Info Found
Dr Nature,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dr-nature,drnatureltd@gmail.com,No Info Found
Dr Skin,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dr-skin,liujie.jay98@gmail.com,No Info Found
"Dream Aquaculture, Help Farming (DAHF)",https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dream-aquaculture-help-farming-dahf,No Info Found,No Info Found
E Farm Biotech Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/e-farm-biotech,contact@efb.com.hk,No Info Found
E-Painter,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/e-painter,No Info Found,No Info Found
E-Predictor – AI prediction & simulation for building energy consumption and carbon emissions,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/e-predictor,epredictor@ewota.com,No Info Found
E-VITY LIMITED,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/e-vity-limited,evitylimited@gmail.com,No Info Found
E2Pilot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/e2pilot,junyan.su@my.cityu.edu.hk,No Info Found
E3A Healthcare Pte Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/e3a-healthcare-pte-limited,info@e3ahealth.com,No Info Found
EARS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ears,hqing2-c@my.cityu.edu.hk,No Info Found
EGGPO,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/eggpo,No Info Found,No Info Found
ENDLESS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/endless,No Info Found,No Info Found
ESG GO,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/esg-go,esggolimited@gmail.com,No Info Found
