Company Name,CityU URL,Email,Company Website
BOXS Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/boxs-limited,cs@boxs.hk,No Info Found
BUCHA LIMITED – BUCHA KING,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bucha-limited-bucha-king,No Info Found,No Info Found
BacMed,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bacmed,No Info Found,No Info Found
Bag Plus,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bag-plus,bagplus852@gmail.com,No Info Found
Ball PB,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ball-pb,business@ballpb.com,No Info Found
Bee Prepared,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bee-prepared,tony.wong@beeprepared.info,No Info Found
Begain,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/begain,surisho1102@gmail.com,No Info Found
Belun Technology Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/beluntech,info@beluntech.com,No Info Found
Bettery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bettery,shuxue3-c@my.cityu.edu.hk,No Info Found
BioInsight Innovations,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinsight-innovations,No Info Found,No Info Found
BioMetallica,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biometallica,No Info Found,No Info Found
BioNovo Biotechnology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bionovo-biotechnology,zhoubo54@126.com,No Info Found
Bioinspired Topological Skin,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinspired-topological-skin,wanboli@cityu.edu.hk,No Info Found
Biolot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biolot,xxz020928@gmail.com,No Info Found
Blockchain Credit Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blockchain-credit-platform,Info@prestare.finance,No Info Found
Blook,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blook,wayne@blook.co,No Info Found
BlueEcho,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blueecho,No Info Found,No Info Found
Bookit,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bookit,bookithongkong@gmail.com,No Info Found
