Company Name,CityU URL,Email,Company Website
PetsAround,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/petsaround,petsaround01@gmail.com,No Info Found
Phosphogypsum regeneration resource utilization,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/phosphogypsum-regeneration-resource-utilization,No Info Found,No Info Found
Photobiological Factory,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/photobiological-factory,No Info Found,No Info Found
Photonic PCR Bioscience,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/photonic-pcr-bioscience,No Info Found,No Info Found
Photothermatics Technology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/photothermatics-technology,No Info Found,No Info Found
PhyCell,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/phycell,zhonjiang8-c@my.cityu.edu.hk,No Info Found
Picko,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/picko,funding@picko.app,No Info Found
Ping Pong,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ping-pong,findpingpong@gmail.com,No Info Found
Pivot BME,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/pivot-bme,alex.cheng@pivotbme.com,No Info Found
Pixieai,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/pixieai,kenhung2002@gmail.com,No Info Found
Plan C – Safnect Wallet,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/plan-c-safnect-wallet,No Info Found,No Info Found
PlaySmart,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/playsmart,cs@playsmarthk.com,No Info Found
PluGo,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/plugo,plugo.hk@gmail.com,No Info Found
Point-of-care - Biosensors for Drug Efficacy and Patient Response Evaluation,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/point-of-care,piebbiochip@gmail.com,No Info Found
Pokeguide Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/pokeguide,info@pokeguide.com,No Info Found
Pong Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/pong-company-limited,hello@pongproduct.com,No Info Found
Poring into Nano,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/poring-nano,No Info Found,No Info Found
Portable Water Purification System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/portable-water-purification-system,No Info Found,No Info Found
