Company Name,CityU URL,Email,Company Website
Orca Layout,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/orca-layout,No Info Found,No Info Found
OrderHub,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/orderhub,No Info Found,No Info Found
Orderlo,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/orderlo,teamorderlo@outlook.com,No Info Found
Orikong,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/orikong,orikonghk@gmail.com,No Info Found
PAmed,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/pamed,No Info Found,No Info Found
PI-AI Fault Detector,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/pi-ai-fault-detector,pi.ai.detector@gmail.com,No Info Found
PLAPER,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/plaper,chunwaim7@gmail.com,No Info Found
PalPal,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/palpal,dqy20000526@gmail.com,No Info Found
Panda for Health TCM Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/panda-for-health-tcm-platform,pandaforhealth@gmail.com,No Info Found
Particoo Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/particoo-tech,contact@particoo.com,No Info Found
Patin – a revolutionary superfood in Hong Kong,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/patin,erina@lonble.com,No Info Found
Peptide Adventure,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/peptide-adventure,shuhkwok4-c@my.cityu.edu.hk,No Info Found
Pesto Green,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/pesto-green,No Info Found,No Info Found
Pet image recognition,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/pet-image-recognition,No Info Found,No Info Found
Pet+,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/pet,No Info Found,No Info Found
Petalife,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/petalife,boopedoo.hk@gmail.com,No Info Found
Petalife,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/petalife,support@petalife.tech,No Info Found
Petalog,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/petalog,kammyiu2-c@my.cityu.edu.hk,No Info Found
