Company Name,CityU URL,Email,Company Website
Cheng Zhe Innovator,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cheng-zhe-innovator,No Info Found,No Info Found
ChiMed Bee,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chimedbee,chimedbee@gmail.com,No Info Found
Chinese AIGC Group – ChinAITalk,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chinese-aigc-group-chinaitalk,chinaitalk.official@gmail.com,No Info Found
Chinese Speech Training System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chinese-speech-training-system,brickforbig@gmail.com,No Info Found
Chop Chop Chop,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chop-chop-chop,Chopchopchop767@gmail.com,No Info Found
Cimple Biotechnology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/cimple-biotechnology-limited,No Info Found,No Info Found
CircularNFT,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/circularnft,No Info Found,No Info Found
CityChain,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/citychain,No Info Found,No Info Found
CityPro,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/citypro,No Info Found,No Info Found
CityPro Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/citypro-technology-limited,contact@citypro.tech,No Info Found
Clos3t Labs,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/clos3t-labs,No Info Found,No Info Found
Cloud Kitchen,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cloud-kitchen,No Info Found,No Info Found
CodeMasters – DevGenius,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/codemasters-devgenius,No Info Found,No Info Found
Coffee Cat,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/coffee-cat,coffeecat.hello@gmail.com,No Info Found
Coglix.ai,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/coglixai,No Info Found,No Info Found
Colab,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/colab,No Info Found,No Info Found
Collage,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/collage,info@collagehk.com,No Info Found
ColorPixel (Hong Kong) Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/colorpixel-company-limited,support@colorverse.social,No Info Found
