Company Name,CityU URL,Email,Company Website
Intelligent UVC and Far-UVC device for instant effective disinfection,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/intelligent-uvc-and-far-uvc-device-instant-effective-disinfection,Alexyuyl21@gmail.com,No Info Found
Intelligent recommending system that helps you find your best-fit academic supervisor,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/intelligent-recommending-system,profesearch2022@gmail.com,No Info Found
IntuVision Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/intuvision-limited,info@intuvision.co,No Info Found
Invisible & Innovative Technology (Asia) Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/invisibletech,info@iithk.com,No Info Found
IoT Insurance powered by “xAI” (Next Generation AI),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/iot-insurance,adachanyc@gmail.com,No Info Found
IoT and Data Driven Health and Wellness Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/iot-and-data-driven-health-and-wellness-platform,No Info Found,No Info Found
JBC – Freebie,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/jbc-freebie,No Info Found,No Info Found
JBOT,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/jbot,No Info Found,No Info Found
JUNLI Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/junli-limited,No Info Found,No Info Found
JUST Solutions Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/just-solutions-limited,info@justsolutions.ai,No Info Found
Job Matriz Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/jobmatriz-limited,info@jobmatriz.com,No Info Found
JobMatriz,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/jobmatriz,info@jobmatriz.com,No Info Found
JobRooster,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/jobrooster,No Info Found,No Info Found
Jober,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/jober,Info@jober.cc,No Info Found
Jotbody (HK) Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/jotbody,jotbody@jotbody.net,No Info Found
Jumppoint,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/jumppoint,No Info Found,No Info Found
Just A Moment Wellness,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/just-a-moment-wellness,info@jamwellness.io,No Info Found
KOC&U,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/kocnu,admin@kocnu.com,No Info Found
