Company Name,CityU URL,Email,Company Website
Algo.852,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algo852,finengine.algo@gmail.com,No Info Found
AlgoGraph,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algograph,kakitam0105@gmail.com,No Info Found
All Liquid Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/all-liquid-tech,No Info Found,No Info Found
Alpha AI Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/alphaaiauto,desmond@alphaaiauto.com,No Info Found
Alpha Eco,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alpha-eco,tktsang34-c@my.cityu.edu.hk,No Info Found
AlphaESG,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alphaesg,No Info Found,No Info Found
Alphabag,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alphabag,enquiry@alphabag.com,No Info Found
Alternative Treatment for Alzheimer’s Disease by Reducing Beta-amyloid Accumulation: a Small Molecule Approach,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/small-molecule-approach,yijunxu5-c@my.cityu.edu.hk,No Info Found
Amazinc Energy Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/amazinc-energy-limited,No Info Found,No Info Found
AnalyticX,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/analyticx,analyticx@gmail.com,No Info Found
Angel Pet – PETS & PAW,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/angel-pet-pets-paw,No Info Found,No Info Found
AniTech Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/anitech,gkumar@anitech.hk,No Info Found
Anti-Allergy Food Club,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anti-allergy-food-club,No Info Found,No Info Found
Anti-Recruitment-Fraud Bot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anti-recruitment-fraud-bot,No Info Found,No Info Found
Aopu MMIC (HK) Technology Ltd,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/aopu-mmic-hk-technology-ltd,hb@aopummic.com,No Info Found
AptaTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aptatech,beatrice.lsy0429@gmail.com,No Info Found
AquaCos,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aquacos,sindick10@yahoo.com.hk,No Info Found
Aquatech Asia Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/aquatech-asia-limited,aquatechasia.hk@gmail.com,No Info Found
