Company Name,CityU URL,Email,Company Website
NuFlux,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/nuflux,No Info Found,No Info Found
O2EZ,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/o2ez,o2ez.hk@gmail.com,No Info Found
OAO-Project Apollo,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/oao-project-apollo,enquiry@oaohk.com,No Info Found
OLLA,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/olla,helloteamolla@gmail.com,No Info Found
ON/OFF Press,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/on-off-press,louise@pongproduct.com,No Info Found
OVLD – Digital Riding,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ovld-digital-riding,No Info Found,No Info Found
Oases,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/oases,No Info Found,No Info Found
Ocean Micro View,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ocean-micro-view,No Info Found,No Info Found
Okeanos,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/okeanos,No Info Found,No Info Found
OmicLab Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/omiclab,zhaozicheng@byoryn.com,No Info Found
One-stop solution for optimising quality homecare service,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/one-stop-solution-optimizing-quality-homecare-service,cbhomage@cityu.edu.hk,No Info Found
OneChain Consortium,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/onechain-consortium,info@one-chain.io,No Info Found
Onepile Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/onepile-limited,info@onepile.co,No Info Found
Online assignment and examination assessment platform powered by A.I. technology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/online-assignment-and-exam-assessment-platform,john@duuright.com,No Info Found
Open Flow Optical Cavity (OFOC),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/open-flow-optical-cavity,Ymkwong7-c@my.cityu.edu.hk,No Info Found
Open Ocean Camera,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/open-ocean-camera,sdhnt@connect.hku.hk,No Info Found
Open Underwater Research System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/open-underwater-research-system,szetszho@gmail.com,No Info Found
OptiLegal,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/optilegal,kelvin@optilegal.io,No Info Found
