Company Name,CityU URL,Email,Company Website
Freedrop Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/freedrop-limited,info@freedrop.co,No Info Found
Freeness,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/freeness,novushk.business@gmail.com,No Info Found
Freez’s,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/freezs,info@gooherbal.com,No Info Found
"Fully packaged, high speed, thin-film lithium niobate electro-optic modulator",https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/thin-film-lithium-niobate-electro-optic-modulator,yzhang2544-c@my.cityu.edu.hk,No Info Found
Future Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/future-tech,hkfuturetech2022@gmail.com,No Info Found
FutureNow,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/futurenow,raymondyeung@futurenow.app,No Info Found
GABES Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/gabes-limited,enquiries@gabes.com.hk,No Info Found
GAMLIC Studio – AI Explorer,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gamlic-studio-ai-explorer,No Info Found,No Info Found
GNet,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gnet,No Info Found,No Info Found
GOODTAKES,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/goodtakes,marketing@goodtakes.co,No Info Found
GUTolution,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/gutolution,info@gutolution.com,No Info Found
Garlican,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/garlican,admin@garlican.com,No Info Found
GasTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gastech,zeyutao2-c@my.cityu.edu.hk,No Info Found
GatherKing,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gatherking,fchau@app2one.com,No Info Found
Geekversal,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/geekversal,contact@agmtech.com.hk,No Info Found
Gene-X Innovations Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/gene-x-innovations-limited,info@gene-x.io,No Info Found
GeneNet Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/genenet-limited,info@genenet.co,No Info Found
Genetic Algorithm Optimized Deep Learning Model to Forecast Ultra-Short-Term Concentration of Fly Ash From Coal Fired Power Plants,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/genetic-algorithm-optimized-deep-learning-model-forecast-ultra-short-term,yingjie.he@whu.edu,No Info Found
