Company Name,CityU URL,Email,Company Website
Gestura,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gestura,gesturatech@gmail.com,No Info Found
Glassbox AI,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/glassbox-ai,admin@xai.hk,No Info Found
Glide Creato,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/glide-creato,admin@glidetravel.co,No Info Found
GloStudy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/glostudy,fionao@glostudy.com,No Info Found
GoFire Account,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gofire-account,contact@gofire.tech,No Info Found
Goolab Technology Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/goolab-technology-company-limited,info@gooherbal.com,No Info Found
Gportrait,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gportrait,lijiache2-c@my.cityu.edu.hk,No Info Found
GradBubble,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/gradbubble,gradbubble@gmail.com,No Info Found
Gram-scale Pyrolytic Self-driven Synthesis of Carbon Nanotubes,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/carbon-nanotubes,chuang46-c@my.cityu.edu.hk,No Info Found
Greater Bay Biotechnology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/greater-bay-biotechnology,general@greaterbay-biotech.com,No Info Found
Green Point Data Solutions - SMEsync,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/green-point-data-solutions-smesync,info@greenpoint.com.hk,No Info Found
Green sunflower,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/green-sunflower,No Info Found,No Info Found
GreenMem,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/greenmem,No Info Found,No Info Found
GrownTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/growntech,eddiecityu@gmail.com,No Info Found
Guardian,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/guardian,guardian.helloworld@gmail.com,No Info Found
Guardian AI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/guardian-ai,No Info Found,No Info Found
GuardianAI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/guardianai,No Info Found,No Info Found
Guiding Paws,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/guiding-paws,No Info Found,No Info Found
